From, to, distance in meters, calcTime, journeysFound, bestPickDeparture,bestPickTime, worstPickDeparture, worstPickTime
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008832235,116595.8,718,15,2019-09-18T15:28:00,11100,2019-09-18T09:28:00,18300
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008832243,113899.3,592,17,2019-09-18T15:24:00,10920,2019-09-18T14:24:00,21720
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008832250,111958.1,586,17,2019-09-18T15:18:00,10680,2019-09-18T14:18:00,21480
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008832334,106973.2,578,17,2019-09-18T15:08:00,10320,2019-09-18T14:08:00,21120
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008832375,103465.5,695,14,2019-09-18T15:03:00,9960,2019-09-18T12:33:00,22560
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008832409,134303.2,856,12,2019-09-18T15:48:00,12420,2019-09-18T09:48:00,19620
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008832433,136617.7,841,8,2019-09-18T07:49:00,12480,2019-09-18T13:21:00,18000
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008832458,140351.8,836,8,2019-09-18T07:43:00,12180,2019-09-18T13:15:00,17640
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008832565,130595.6,564,7,2019-09-18T08:10:00,14040,2019-09-18T19:35:00,19860
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008832573,128329.6,561,7,2019-09-18T08:20:00,14400,2019-09-18T19:57:00,20640
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008832615,128724,570,7,2019-09-18T08:26:00,14580,2019-09-18T20:10:00,20880
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008832664,129205.3,512,5,2019-09-18T08:31:00,15180,2019-09-18T08:31:00,15180
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008833001,124160.4,1212,7,2019-09-18T06:07:00,7560,2019-09-18T06:07:00,7560
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008833050,114528.9,761,21,2019-09-18T06:51:00,9120,2019-09-18T06:53:00,9300
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008833126,123774.8,712,6,2019-09-18T06:56:00,9240,2019-09-18T17:23:00,10860
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008833134,124105.7,746,6,2019-09-18T07:01:00,9600,2019-09-18T17:28:00,11220
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008833159,121745.5,745,6,2019-09-18T07:06:00,9840,2019-09-18T17:33:00,11460
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008833175,127970.5,1045,7,2019-09-18T06:46:00,8700,2019-09-18T06:46:00,8700
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008833209,126967,1226,7,2019-09-18T06:44:00,8580,2019-09-18T18:49:00,8820
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008833233,128296.8,950,7,2019-09-18T06:36:00,8280,2019-09-18T18:58:00,9600
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008833258,126695.5,686,13,2019-09-18T13:03:00,9720,2019-09-18T09:27:00,18360
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008833266,123746.3,690,13,2019-09-18T13:08:00,9960,2019-09-18T09:32:00,18660
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008833274,121719.1,687,13,2019-09-18T13:13:00,10200,2019-09-18T09:37:00,18900
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008833308,107787.4,774,7,2019-09-18T06:31:00,7800,2019-09-18T06:31:00,7800
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008833449,101563.3,756,7,2019-09-18T06:42:00,8340,2019-09-18T18:42:00,8400
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008833605,95444.03,730,7,2019-09-18T06:17:00,7140,2019-09-18T06:17:00,7140
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008833670,98840.74,781,7,2019-09-18T06:37:00,8160,2019-09-18T06:37:00,8160
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008841004,63869.35,465,8,2019-09-18T05:51:00,5280,2019-09-18T05:51:00,5280
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008841202,69399.17,509,7,2019-09-18T05:56:00,5820,2019-09-18T05:56:00,5820
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008841319,70966.37,345,5,2019-09-18T06:43:00,8460,2019-09-18T06:43:00,8460
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008841327,72469.04,370,5,2019-09-18T06:47:00,8640,2019-09-18T06:47:00,8640
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008841400,83046.84,579,7,2019-09-18T06:13:00,6540,2019-09-18T06:13:00,6540
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008841434,80575.32,378,5,2019-09-18T07:00:00,9420,2019-09-18T07:00:00,9420
